valid_time_gmt,temp,uv_index
1538369640,63,0
1538373240,62,0
1538376840,61,0
1538380440,61,0
1538384040,62,0
1538386140,61,0
1538387640,62,0
1538391240,61,0
1538393280,62,0
1538394840,63,0
1538396700,64,0
1538398440,66,1
1538402040,70,2
1538405640,74,3
1538409240,75,4
1538412840,78,4
1538416440,79,4
1538420040,80,3
1538423640,80,1
1538427240,79,0
1538430840,78,0
1538434440,75,0
1538438040,73,0
1538441640,70,0
1538445240,69,0
1538448840,69,0
1538452440,68,0
1538456040,68,0
1538459640,68,0
1538463240,67,0
1538466840,67,0
1538470440,66,0
1538474040,66,0
1538477640,65,0
1538481240,66,0
1538484840,70,1
1538488440,73,2
1538492040,76,3
1538495640,80,3
1538499240,80,3
1538502840,80,2
1538506440,81,1
1538510040,81,1
1538513640,80,0
1538517240,79,0
1538520840,77,0
1538524440,76,0
1538528040,74,0
1538531640,75,0
1538534520,75,0
1538535240,74,0
1538536320,71,0
1538536680,70,0
1538536920,68,0
1538537220,66,0
1538537760,66,0
1538538300,66,0
1538538540,64,0
1538538840,65,0
1538539260,65,0
1538540340,65,0
1538541780,65,0
1538542440,65,0
1538543040,65,0
1538544780,65,0
1538546040,64,0
1538548800,64,0
1538549640,65,0
1538550060,65,0
1538552220,64,0
1538553240,64,0
1538553660,64,0
1538556840,64,0
1538560440,63,0
1538562960,65,0
1538564040,64,0
1538567640,65,0
1538568660,66,0
1538571240,68,1
1538574840,72,2
1538578440,74,3
1538582040,73,4
1538585640,76,4
1538589240,76,4
1538592840,77,3
1538596440,78,2
1538600040,77,1
1538603640,77,0
1538607240,74,0
1538610840,72,0
1538614440,68,0
1538618040,66,0
1538621640,65,0
1538625240,64,0
1538628840,63,0
1538632440,62,0
1538636040,63,0
1538636580,63,0
1538636820,63,0
1538637120,63,0
1538637480,63,0
1538639640,64,0
1538641080,64,0
1538641680,64,0
1538642340,64,0
1538643240,63,0
1538643660,63,0
1538644080,63,0
1538644500,63,0
1538644800,63,0
1538646300,63,0
1538646840,63,0
1538647800,63,0
1538649360,63,0
1538649900,63,0
1538650320,63,0
1538650440,63,0
1538651520,63,0
1538654040,64,0
1538656020,64,0
1538657280,64,0
1538657640,64,0
1538658540,65,0
1538658960,65,1
1538659680,65,1
1538660040,65,1
1538660580,66,1
1538661240,66,2
1538662620,69,2
1538664840,72,3
1538666160,74,2
1538666700,73,3
1538668440,75,3
1538672040,78,3
1538675640,80,3
1538679240,82,2
1538682840,83,1
1538686440,83,0
1538690040,82,0
1538692020,81,0
1538693640,74,0
1538694000,75,0
1538697240,73,0
1538698500,74,0
1538700840,76,0
1538704440,76,0
1538706420,75,0
1538708040,75,0
1538709780,76,0
1538711640,75,0
1538715240,74,0
1538718840,70,0
1538722440,67,0
1538723400,67,0
1538726040,65,0
1538729640,64,0
1538730900,64,0
1538731380,64,0
1538733240,63,0
1538736840,64,0
1538740440,63,0
1538744040,63,0
1538747640,63,1
1538751240,64,1
1538754840,65,2
1538756640,66,2
1538758440,65,2
1538759520,66,2
1538762040,66,2
1538765640,67,1
1538766000,67,1
1538767560,66,1
1538769240,66,1
1538772840,66,0
1538774400,66,0
1538776440,66,0
1538780040,65,0
1538783640,65,0
1538787240,65,0
1538790840,64,0
1538792340,64,0
1538794140,64,0
1538794440,64,0
1538798040,64,0
1538798940,64,0
1538801640,64,0
1538805240,64,0
1538808840,63,0
1538812440,63,0
1538814000,63,0
1538816040,63,0
1538819160,63,0
1538819640,63,0
1538822880,63,0
1538823240,63,0
1538826840,64,0
1538830440,65,0
1538834040,66,1
1538837640,67,1
1538841240,68,2
1538844480,70,2
1538844840,69,2
1538848440,69,2
1538851500,70,1
1538852040,70,1
1538854620,70,1
1538855640,70,1
1538859240,70,0
1538862360,70,0
1538862840,70,0
1538866440,69,0
1538868360,69,0
1538870040,69,0
1538872140,69,0
1538873640,69,0
1538874540,69,0
1538876340,69,0
1538877240,69,0
1538880840,69,0
1538883360,69,0
1538884440,69,0
1538888040,69,0
1538891640,69,0
1538895240,70,0
1538898840,70,0
1538900700,70,0
1538902440,71,0
1538906040,70,0
1538907540,71,0
1538909640,70,0
1538912940,72,0
1538913240,71,0
1538916120,71,0
1538916840,71,0
1538920440,71,1
1538920920,71,1
1538921460,71,1
1538923140,71,1
1538923740,72,1
1538924040,72,1
1538924580,72,2
1538926380,73,2
1538927640,74,2
1538931240,76,2
1538934840,77,2
1538938440,77,2
1538942040,77,1
1538945640,78,0
1538945760,78,0
1538949240,77,0
1538952840,75,0
1538956440,70,0
1538960040,71,0
1538963280,70,0
1538963640,70,0
1538966520,72,0
1538967240,71,0
1538970840,70,0
1538974440,68,0
1538975100,68,0
1538978040,67,0
1538980620,68,0
1538981640,68,0
1538983920,69,0
1538985240,68,0
1538988840,67,0
1538991000,67,0
1538991720,68,0
1538992440,66,0
1538993460,68,0
1538993820,68,0
1538994120,69,0
1538996040,69,0
1538997600,69,0
1538999640,70,0
1539000540,70,0
1539001740,70,0
1539002640,70,0
1539003240,70,0
1539005520,70,1
1539006840,70,1
1539008280,71,1
1539010440,70,1
1539010980,70,2
1539012060,70,2
1539013800,72,2
1539014040,71,2
1539015660,71,2
1539017640,71,2
1539019440,71,2
1539021240,71,2
1539022380,71,2
1539024840,71,1
1539028440,71,1
1539031620,70,0
1539032040,70,0
1539034020,69,0
1539034980,69,0
1539035640,69,0
1539036300,69,0
1539036960,69,0
1539037440,69,0
1539038820,69,0
1539039240,69,0
1539040200,69,0
1539042360,69,0
1539042840,68,0
1539043500,68,0
1539044940,68,0
1539046440,68,0
1539047340,68,0
1539047940,68,0
1539049080,69,0
1539049740,70,0
1539050040,68,0
1539051420,69,0
1539052560,69,0
1539053640,69,0
1539055500,69,0
1539057240,69,0
1539059040,69,0
1539060600,70,0
1539060840,69,0
1539061620,69,0
1539062460,69,0
1539064440,69,0
1539065100,69,0
1539066240,70,0
1539067020,70,0
1539067740,70,0
1539068040,69,0
1539071640,70,0
1539074340,70,0
1539075240,70,0
1539078840,70,0
1539081000,70,0
1539082440,70,0
1539083280,70,0
1539084420,70,0
1539085800,70,0
1539086040,70,0
1539087000,70,0
1539089640,71,0
1539091440,72,1
1539093240,73,1
1539093840,73,1
1539094080,74,1
1539096840,75,2
1539100440,78,3
1539104040,77,3
1539107640,80,2
1539111240,80,2
1539114840,80,1
1539118440,80,0
1539122040,77,0
1539125640,76,0
1539129240,75,0
1539132840,74,0
1539136440,72,0
1539140040,72,0
1539141660,72,0
1539143640,72,0
1539147240,71,0
1539148080,70,0
1539150180,70,0
1539150840,70,0
1539153000,70,0
1539153900,69,0
1539154440,69,0
1539155460,69,0
1539156480,69,0
1539158040,69,0
1539161040,70,0
1539161640,70,0
1539164940,68,0
1539165240,68,0
1539165660,69,0
1539167280,69,0
1539167820,69,0
1539168840,70,0
1539168960,70,0
1539170460,70,0
1539171000,70,0
1539172440,71,0
1539175500,72,0
1539176040,73,0
1539177480,73,1
1539178740,73,1
1539179640,74,1
1539180600,75,1
1539183240,76,2
1539186840,77,3
1539190440,79,4
1539194040,80,2
1539197640,81,2
1539201240,82,1
1539204840,82,0
1539208440,78,0
1539212040,76,0
1539215640,75,0
1539219240,74,0
1539222840,74,0
1539226440,74,0
1539230040,73,0
1539233400,72,0
1539233640,73,0
1539234420,72,0
1539237240,72,0
1539240840,73,0
1539244440,73,0
1539248040,73,0
1539251640,74,0
1539255240,74,0
1539258840,74,0
1539259680,75,0
1539260100,74,0
1539260700,74,0
1539262440,74,0
1539263520,74,0
1539263640,74,0
1539264000,74,1
1539264180,73,1
1539264360,73,1
1539264900,73,1
1539265800,73,1
1539266040,73,1
1539266640,73,1
1539267840,73,1
1539268620,73,1
1539269220,74,1
1539269640,74,1
1539271020,76,2
1539273240,78,2
1539273840,79,3
1539276600,81,3
1539276840,80,3
1539278220,81,3
1539278760,81,3
1539280440,81,2
1539284040,83,2
1539287640,83,1
1539291240,81,0
1539294840,79,0
1539298440,76,0
1539301440,75,0
1539302040,75,0
1539304080,75,0
1539304620,73,0
1539305160,73,0
1539305640,73,0
1539306540,72,0
1539309240,71,0
1539309600,71,0
1539309960,71,0
1539310440,71,0
1539311580,72,0
1539312000,71,0
1539312600,72,0
1539312840,71,0
1539313200,71,0
1539313260,71,0
1539313740,71,0
1539314160,71,0
1539314700,71,0
1539316440,70,0
1539317460,71,0
1539319680,70,0
1539320040,70,0
1539322080,70,0
1539322860,71,0
1539323640,70,0
1539324060,69,0
1539324780,68,0
1539326340,67,0
1539327240,67,0
1539329940,66,0
1539330600,64,0
1539330840,65,0
1539331740,64,0
1539334440,62,0
1539338040,61,0
1539341640,60,0
1539345240,61,0
1539348840,60,0
1539352440,60,1
1539356040,61,3
1539359640,62,4
1539363240,62,4
1539366840,63,4
1539370440,63,3
1539374040,62,1
1539377640,61,0
1539381240,60,0
1539384840,59,0
1539388440,58,0
1539392040,56,0
1539395640,55,0
1539399240,53,0
1539402840,53,0
1539406440,52,0
1539410040,52,0
1539413640,51,0
1539417240,52,0
1539420840,52,0
1539424440,52,0
1539428040,51,0
1539428700,51,0
1539430260,49,0
1539431640,49,0
1539435240,49,0
1539438840,49,1
1539442440,51,2
1539446040,52,2
1539449640,53,3
1539453240,54,2
1539456840,56,2
1539460440,56,1
1539464040,57,0
1539467640,56,0
1539471240,55,0
1539474840,55,0
1539478440,53,0
1539482040,53,0
1539485640,50,0
1539489240,50,0
1539492840,49,0
1539496440,49,0
1539500040,47,0
1539503640,45,0
1539507240,47,0
1539510840,47,0
1539514440,47,0
1539518040,48,0
1539521640,50,0
1539525240,51,1
1539528840,54,1
1539532440,54,2
1539536040,54,2
1539539640,55,2
1539543240,56,1
1539546840,56,1
1539550440,56,0
1539554040,57,0
1539557640,54,0
1539561240,56,0
1539564840,55,0
1539568440,54,0
1539572040,54,0
1539575640,54,0
1539579240,55,0
1539582840,55,0
1539583440,55,0
1539584160,54,0
1539586440,54,0
1539590040,57,0
1539593640,57,0
1539597240,57,0
1539597900,57,0
1539600840,58,0
1539604080,61,0
1539604440,60,0
1539605940,59,0
1539606360,59,0
1539607320,60,0
1539608040,60,0
1539609420,60,0
1539609780,60,0
1539611640,59,1
1539612120,59,1
1539613320,60,1
1539613980,60,1
1539615240,61,1
1539618840,62,2
1539622440,63,2
1539626040,65,2
1539627180,65,1
1539629640,66,1
1539632280,67,1
1539633240,67,1
1539636840,68,0
1539640440,68,0
1539644040,68,0
1539647640,68,0
1539651240,68,0
1539654840,67,0
1539658440,67,0
1539661200,67,0
1539661500,65,0
1539662040,63,0
1539662460,63,0
1539662820,63,0
1539665640,62,0
1539669240,60,0
1539672840,58,0
1539676440,57,0
1539680040,55,0
1539683640,54,0
1539687240,52,0
1539690840,51,0
1539694440,51,0
1539698040,52,1
1539701640,52,2
1539705240,53,2
1539708840,55,2
1539712440,56,2
1539716040,56,2
1539719640,57,1
1539723240,56,0
1539726840,55,0
1539730440,54,0
1539734040,54,0
1539737640,54,0
1539741240,53,0
1539744840,54,0
1539748440,53,0
1539755640,52,0
1539759240,51,0
1539762840,50,0
1539766440,50,0
1539770040,50,0
1539773640,51,0
1539777240,50,0
1539780840,52,0
1539784440,55,1
1539788040,58,2
1539791640,60,4
1539795240,63,4
1539798840,64,3
1539802440,64,2
1539806040,63,1
1539809640,63,0
1539813240,62,0
1539816840,59,0
1539820440,57,0
1539824040,56,0
1539827640,54,0
1539831240,52,0
1539834840,51,0
1539838440,49,0
1539842040,47,0
1539845640,47,0
1539849240,45,0
1539852840,44,0
1539856440,42,0
1539860040,44,0
1539863640,44,0
1539867240,44,0
1539870840,46,1
1539874440,47,2
1539878040,49,3
1539881640,50,4
1539885240,51,3
1539888840,52,2
1539892440,53,1
1539896040,53,0
1539899640,52,0
1539903240,51,0
1539906840,49,0
1539910440,48,0
1539914040,48,0
1539917640,47,0
1539921240,47,0
1539924840,46,0
1539928440,43,0
1539932040,42,0
1539935640,42,0
1539939240,41,0
1539942840,41,0
1539946440,42,0
1539950040,42,0
1539953640,46,1
1539957240,50,1
1539960840,54,2
1539964440,57,2
1539968040,59,2
1539971640,60,2
1539975240,60,1
1539978840,60,1
1539982440,61,0
1539986040,60,0
1539989640,58,0
1539993240,57,0
1539996840,56,0
1540000440,57,0
1540004040,57,0
1540007640,58,0
1540011240,58,0
1540014840,58,0
1540018440,55,0
1540022040,55,0
1540025640,55,0
1540029240,55,0
1540032840,56,0
1540035060,56,0
1540036260,55,0
1540036440,56,0
1540040040,57,0
1540042020,57,0
1540043640,57,1
1540047240,58,2
1540050840,60,2
1540054440,62,2
1540058040,63,2
1540061640,64,1
1540065240,64,1
1540068840,63,0
1540072440,63,0
1540076040,61,0
1540079640,57,0
1540083240,54,0
1540086840,56,0
1540090440,56,0
1540094040,50,0
1540097640,51,0
1540101240,51,0
1540104840,50,0
1540108440,50,0
1540112040,49,0
1540115640,49,0
1540119240,49,0
1540122840,48,0
1540126440,46,0
1540130040,47,1
1540133640,46,1
1540137240,47,2
1540140840,47,2
1540144440,48,3
1540148040,50,2
1540151640,50,1
1540155240,50,0
1540158840,48,0
1540162440,47,0
1540166040,46,0
1540169640,44,0
1540173240,44,0
1540176840,43,0
1540180440,40,0
1540184040,40,0
1540187640,39,0
1540191240,41,0
1540194840,41,0
1540198440,42,0
1540202040,42,0
1540205640,40,0
1540209240,40,0
1540212840,44,1
1540216440,46,1
1540220040,49,2
1540223640,50,2
1540227240,51,3
1540230840,52,3
1540234440,54,2
1540238040,54,1
1540241640,55,0
1540245240,53,0
1540248840,53,0
1540252440,51,0
1540256040,50,0
1540259640,50,0
1540263240,49,0
1540266840,50,0
1540270440,48,0
1540274040,48,0
1540277640,49,0
1540281240,50,0
1540284840,50,0
1540288440,50,0
1540292040,51,0
1540295640,50,0
1540299240,51,0
1540302840,53,1
1540306440,57,2
1540310040,60,3
1540313640,63,3
1540317240,64,2
1540320840,66,2
1540324440,66,1
1540328040,65,0
1540331640,65,0
1540335240,63,0
1540338840,58,0
1540342440,56,0
1540346040,54,0
1540349640,53,0
1540353240,51,0
1540356840,50,0
1540360440,50,0
1540364040,49,0
1540367640,48,0
1540371240,47,0
1540374840,46,0
1540378440,45,0
1540382040,45,0
1540385640,46,0
1540389240,49,1
1540392840,52,2
1540396440,53,3
1540400040,53,3
1540403640,53,2
1540407240,53,2
1540410840,54,1
1540414440,54,0
1540418040,51,0
1540421640,48,0
1540425240,47,0
1540428840,45,0
1540432440,45,0
1540436040,45,0
1540439640,43,0
1540443240,42,0
1540446840,42,0
1540450440,41,0
1540454040,41,0
1540457640,41,0
1540461240,39,0
1540464840,38,0
1540468440,38,0
1540472040,41,0
1540475640,44,1
1540479240,46,2
1540482840,48,3
1540486440,49,3
1540490040,51,2
1540493640,52,1
1540497240,52,1
1540500840,52,0
1540504440,51,0
1540508040,50,0
1540511640,49,0
1540515240,46,0
1540518840,46,0
1540522440,44,0
1540526040,44,0
1540529640,43,0
1540533240,41,0
1540536840,42,0
1540540440,40,0
1540544040,39,0
1540547640,41,0
1540551240,41,0
1540554840,41,0
1540558440,43,0
1540562040,45,1
1540565640,46,1
1540569240,47,1
1540572840,47,1
1540576440,48,1
1540580040,49,1
1540583640,49,0
1540587240,49,0
1540590840,48,0
1540594440,48,0
1540598040,48,0
1540601640,48,0
1540602600,48,0
1540605240,48,0
1540608840,48,0
1540612020,48,0
1540612440,48,0
1540616040,48,0
1540618920,48,0
1540619640,48,0
1540621380,48,0
1540623240,48,0
1540625820,49,0
1540626840,49,0
1540630440,49,0
1540633440,49,0
1540634040,50,0
1540635120,50,0
1540637640,50,0
1540639980,50,0
1540641240,50,0
1540642800,50,0
1540644840,49,0
1540645380,49,0
1540648440,50,1
1540651140,50,1
1540652040,50,1
1540653120,49,1
1540654860,48,1
1540655640,49,1
1540657380,49,1
1540659240,50,1
1540662840,51,1
1540666440,51,1
1540668300,50,1
1540670040,50,0
1540670640,50,0
1540673640,50,0
1540674120,50,0
1540675560,50,0
1540676820,49,0
1540677240,50,0
1540677840,49,0
1540678020,49,0
1540678320,49,0
1540678920,48,0
1540680300,47,0
1540680840,47,0
1540681500,47,0
1540682160,47,0
1540683000,47,0
1540684440,47,0
1540686060,47,0
1540688040,47,0
1540689720,48,0
1540691520,46,0
1540691640,47,0
1540692780,47,0
1540694880,46,0
1540695240,47,0
1540697460,47,0
1540698840,47,0
1540702440,47,0
1540703340,47,0
1540706040,47,0
1540708380,47,0
1540709640,46,0
1540713240,47,0
1540716840,46,0
1540720440,47,0
1540722060,47,0
1540724040,47,0
1540727640,47,0
1540731060,48,0
1540731240,48,0
1540734840,50,1
1540738440,51,1
1540740900,52,1
1540742040,53,1
1540745640,54,2
1540749240,53,2
1540752240,55,1
1540752840,54,1
1540756440,54,0
1540760040,54,0
1540763640,53,0
1540767240,52,0
1540770840,52,0
1540774440,49,0
1540778040,49,0
1540781640,49,0
1540785240,49,0
1540788840,50,0
1540792440,52,0
1540796040,52,0
1540799640,51,0
1540803240,51,0
1540806840,51,0
1540810440,50,0
1540814040,51,0
1540817640,52,0
1540821240,53,1
1540824840,54,1
1540828440,56,2
1540832040,57,2
1540835640,56,2
1540839240,57,1
1540842840,56,1
1540846440,55,0
1540850040,54,0
1540853640,54,0
1540857240,51,0
1540860840,50,0
1540864440,49,0
1540868040,48,0
1540871640,46,0
1540875240,44,0
1540878840,44,0
1540882440,43,0
1540886040,42,0
1540889640,41,0
1540893240,41,0
1540896840,40,0
1540900440,41,0
1540904040,44,0
1540907640,50,1
1540911240,53,2
1540914840,55,3
1540918440,57,4
1540922040,58,3
1540925640,59,2
1540929240,59,1
1540932840,59,0
1540936440,58,0
